"Module Instance","Count","Local Count","Weightage","Local Weightage","Module Name","Source File","Line Number"
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_encrypt_kop.kdf_cmd_fifo.std_fifo.depth_n.fifo_ctrl,4,4,80,80,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,4,0,80,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,4,0,80,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_encrypt_kop.kdfstream_cmd_fifo.std_fifo.depth_n.fifo_ctrl,4,4,80,80,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,4,0,80,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,4,0,80,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_encrypt_kop.tlv_sb_data_fifo.std_fifo.depth_n.fifo_ctrl,6,6,120,120,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,6,0,120,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,6,0,120,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_encrypt_kop.gcm_tag_data_fifo.std_fifo.depth_n.fifo_ctrl,4,4,80,80,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,4,0,80,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,4,0,80,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_encrypt_kop.gcm_status_data_fifo.std_fifo.depth_n.fifo_ctrl,4,4,80,80,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,4,0,80,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,4,0,80,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
cr_kme_kop,83,0,1660,0,"cr_kme_kop","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_kop.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_validate_kop.tlv_inspector,33,33,660,660,"cr_kme_kop_tlv_inspector","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_kop_tlv_inspector.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_validate_kop.gcm.bypass_fifo.std_fifo.depth_n.fifo_ctrl,6,6,120,120,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,6,0,120,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,6,0,120,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
cr_kme_kop_gcm,6,0,120,0,"cr_kme_kop_gcm","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_kop_gcm.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_validate_kop.kdf.gcm_key_fifo.std_fifo.depth_n.fifo_ctrl,4,4,80,80,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,4,0,80,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,4,0,80,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_validate_kop.kdf.hash_key_fifo.std_fifo.depth_n.fifo_ctrl,4,4,80,80,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,4,0,80,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,4,0,80,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_validate_kop.kdf.stream_gen.parser_fifo.std_fifo.depth_n.fifo_ctrl,3,3,60,60,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,3,0,60,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,3,0,60,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
cr_kme_kop_kdf_stream_gen,3,0,60,0,"cr_kme_kop_kdf_stream_gen","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_kop_kdf_stream_gen.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_validate_kop.kdf.merger.downsizer_fifo.std_fifo.depth_n.fifo_ctrl,3,3,60,60,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,3,0,60,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,3,0,60,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
cr_kme_kop_kdf_merger,3,0,60,0,"cr_kme_kop_kdf_merger","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_kop_kdf_merger.v",18
cr_kme_kop_kdf,14,0,280,0,"cr_kme_kop_kdf","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_kop_kdf.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_validate_kop.gcm_cmd_fifo.std_fifo.depth_n.fifo_ctrl,4,4,80,80,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,4,0,80,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,4,0,80,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_validate_kop.keyfilter_cmd_fifo.std_fifo.depth_n.fifo_ctrl,4,4,80,80,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,4,0,80,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,4,0,80,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_validate_kop.kdf_cmd_fifo.std_fifo.depth_n.fifo_ctrl,4,4,80,80,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,4,0,80,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,4,0,80,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_validate_kop.kdfstream_cmd_fifo.std_fifo.depth_n.fifo_ctrl,4,4,80,80,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,4,0,80,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,4,0,80,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_validate_kop.tlv_sb_data_fifo.std_fifo.depth_n.fifo_ctrl,6,6,120,120,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,6,0,120,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,6,0,120,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_validate_kop.gcm_tag_data_fifo.std_fifo.depth_n.fifo_ctrl,4,4,80,80,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,4,0,80,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,4,0,80,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_validate_kop.gcm_status_data_fifo.std_fifo.depth_n.fifo_ctrl,4,4,80,80,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,4,0,80,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,4,0,80,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
cr_kme_kop,83,0,1660,0,"cr_kme_kop","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_kop.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_key_tlv_compare_split.encrypt_fifo.std_fifo.depth_n.fifo_ctrl,3,3,60,60,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,3,0,60,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,3,0,60,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_key_tlv_compare_split.validate_fifo.std_fifo.depth_n.fifo_ctrl,3,3,60,60,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,3,0,60,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_kme_fifo,3,0,60,0,"cr_kme_fifo","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_fifo.v",18
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip_key_tlv_compare_split,10,4,200,80,"cr_kme_key_tlv_compare_split","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_key_tlv_compare_split.v",25
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip0_key_tlv_rsm.u_cr_tlvp2_rsm.u_cr_fifo_wrap2_tob.ram_fifo.u_nx_fifo_ram_1r1w.fifo_ctrl,1,1,20,20,"nx_fifo_ctrl_ram_1r1w","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl_ram_1r1w.v",18
nx_fifo_ram_1r1w,1,0,20,0,"nx_fifo_ram_1r1w","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ram_1r1w.v",10
cr_fifo_wrap2,1,0,20,0,"cr_fifo_wrap2","/home/ibarry/Project-Zipline-master/rtl/common/fifo/cr_fifo_wrap2.v",39
tb_top.kme_tb_dut.kme_dut.u_cr_kme_core.kme_is_core.cceip0_key_tlv_rsm.u_cr_tlvp2_rsm.u_cr_fifo_wrap2_uobf.reg_fifo.u_nx_fifo.depth_n.fifo_ctrl,6,6,120,120,"nx_fifo_ctrl","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo_ctrl.v",11
nx_fifo,6,0,120,0,"nx_fifo","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_fifo.v",10
cr_fifo_wrap2,6,0,120,0,"cr_fifo_wrap2","/home/ibarry/Project-Zipline-master/rtl/common/fifo/cr_fifo_wrap2.v",39
cr_tlvp2_rsm,7,0,140,0,"cr_tlvp2_rsm","/home/ibarry/Project-Zipline-master/rtl/common/cr_tlvp/cr_tlvp2_rsm.v",43
cr_kme_key_tlv_rsm,7,0,140,0,"cr_kme_key_tlv_rsm","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_key_tlv_rsm.v",19
cr_kme_core,398,0,7960,0,"cr_kme_core","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_core.v",21
tb_top.kme_tb_dut.kme_dut.u_cr_kme_regfile.u_nx_interface_monitor_cceip0.u_nx_credit_manager,2,2,40,40,"nx_credit_manager","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_credit_manager.v",38
nx_interface_monitor,2,0,40,0,"nx_interface_monitor","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_interface_monitor.v",31
tb_top.kme_tb_dut.kme_dut.u_cr_kme_regfile.u_nx_interface_monitor_cceip1.u_nx_credit_manager,2,2,40,40,"nx_credit_manager","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_credit_manager.v",38
nx_interface_monitor,2,0,40,0,"nx_interface_monitor","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_interface_monitor.v",31
tb_top.kme_tb_dut.kme_dut.u_cr_kme_regfile.u_nx_interface_monitor_cceip2.u_nx_credit_manager,2,2,40,40,"nx_credit_manager","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_credit_manager.v",38
nx_interface_monitor,2,0,40,0,"nx_interface_monitor","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_interface_monitor.v",31
tb_top.kme_tb_dut.kme_dut.u_cr_kme_regfile.u_nx_interface_monitor_cceip3.u_nx_credit_manager,2,2,40,40,"nx_credit_manager","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_credit_manager.v",38
nx_interface_monitor,2,0,40,0,"nx_interface_monitor","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_interface_monitor.v",31
tb_top.kme_tb_dut.kme_dut.u_cr_kme_regfile.u_nx_interface_monitor_cddip0.u_nx_credit_manager,2,2,40,40,"nx_credit_manager","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_credit_manager.v",38
nx_interface_monitor,2,0,40,0,"nx_interface_monitor","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_interface_monitor.v",31
tb_top.kme_tb_dut.kme_dut.u_cr_kme_regfile.u_nx_interface_monitor_cddip1.u_nx_credit_manager,2,2,40,40,"nx_credit_manager","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_credit_manager.v",38
nx_interface_monitor,2,0,40,0,"nx_interface_monitor","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_interface_monitor.v",31
tb_top.kme_tb_dut.kme_dut.u_cr_kme_regfile.u_nx_interface_monitor_cddip2.u_nx_credit_manager,2,2,40,40,"nx_credit_manager","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_credit_manager.v",38
nx_interface_monitor,2,0,40,0,"nx_interface_monitor","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_interface_monitor.v",31
tb_top.kme_tb_dut.kme_dut.u_cr_kme_regfile.u_nx_interface_monitor_cddip3.u_nx_credit_manager,2,2,40,40,"nx_credit_manager","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_credit_manager.v",38
nx_interface_monitor,2,0,40,0,"nx_interface_monitor","/home/ibarry/Project-Zipline-master/rtl/common/nx_library/nx_interface_monitor.v",31
cr_kme_regfile,16,0,320,0,"cr_kme_regfile","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme_regfile.v",18
cr_kme,414,0,8280,0,"cr_kme","/home/ibarry/Project-Zipline-master/rtl/cr_kme/cr_kme.v",32
kme_tb,414,0,8280,0,"kme_tb","/home/ibarry/Project-Zipline-master/dv/KME/run/kme_tb.sv",10
